             Session           ChannelID           SiteIndex                   X                   Y                   Z        DurationTime        AverageForce      MaxTemperature            MaxPower       BaseImpedance       ImpedanceDrop                 FTI             RFIndex      TagIndexStatus                   
                2138                   0                   1              49.144             -43.639             145.771              30.517              10.012              38.125              41.125             148.361               7.097             306.000             517.829                   1                   
                2139                   0                   2              46.513             -38.044             143.234              41.717               5.329              37.375              41.250             148.267               8.395             222.000             508.114                   1                   
                2140                   0                   3              46.998             -40.307             145.461              29.967              15.206              36.875              41.125             144.609               7.490             456.000             567.644                   1                   
                2141                   0                   4              45.886             -34.830             143.167              29.917              11.018              36.500              41.375             150.035              12.590             330.000             529.508                   1                   
                2142                   0                   5              42.966             -31.341             142.528              25.217              16.798              35.750              41.500             153.986              12.832             424.000             550.419                   1                   
                2143                   0                   6              39.677             -29.543             141.403              29.917              13.176              35.500              41.250             154.649              12.699             394.000             550.473                   1                   
                2144                   0                   7              35.256             -27.715             141.510              26.367              12.803              35.875              41.000             155.567              15.951             338.000             522.525                   1                   
                2145                   0                   8              31.174             -25.548             142.494              25.617              14.621              35.250              41.000             144.729              11.884             375.000             535.294                   1                   
                2146                   0                   9              29.057             -24.969             142.627              26.417              14.406              34.500              41.250             142.341              13.171             381.000             537.623                   1                   
                2147                   0                  10              25.006             -23.175             143.734              24.767              14.059              34.750              41.250             137.955               7.847             348.000             521.290                   1                   
                2148                   0                  11              22.537             -21.887             144.416              23.567              14.281              36.375              41.000             139.530               5.899             337.000             514.862                   1                   
                2149                   0                  12              19.771             -19.169             142.741              28.367              12.697              36.125              41.125             143.742              13.139             360.000             537.538                   1                   
                2150                   0                  13              16.041             -17.242             140.777              28.367              10.746              36.000              41.375             145.968              12.247             305.000             520.400                   1                   
                2151                   0                  14              13.108             -14.840             139.036              28.767              10.114              36.750              41.250             147.946              13.066             291.000             516.487                   1                   
                2152                   0                  15              10.558             -14.238             137.583              23.517              14.114              34.375              41.375             143.998              10.625             332.000             514.847                   1                   
                2153                   0                  16               8.242             -13.853             134.000              27.317              11.382              35.750              41.125             144.009               8.295             311.000             518.273                   1                   
