           SessionId             StartTs               EndTs          PresetName            PresetId             Comment                   
                5831             4829222             4861272              Preset                   12                  NA                   
                5832             4878822             4904072              Preset                   12                  NA                   
                5833             4995422             5036972              Preset                   12                  NA                   
                5834             5188072             5241822              Preset                   12                  NA                   
                5835             5251772             5293822              Preset                   12                  NA                   
                5836             5305872             5351972              Preset                   12                  NA                   
                5837             5363772             5421322              Preset                   12                  NA                   
                5838             5424372             5471272              Preset                   12                  NA                   
                5839             5487472             5547422              Preset                   12                  NA                   
                5840             5556872             5616822              Preset                   12                  NA                   
                5841             5625322             5638622              Preset                   12                  NA                   
                5842             5666122             5726122              Preset                   12                  NA                   
                5843             5740422             5800422              Preset                   12                  NA                   
                5844             5807622             5856372              Preset                   12                  NA                   
                5845             6005122             6036272              Preset                   12                  NA                   
                5846             6084722             6105722              Preset                   12                  NA                   
                5847             6141822             6171222              Preset                   12                  NA                   
                5848             6179572             6219222              Preset                   12                  NA                   
                5849             6233772             6293772              Preset                   12                  NA                   
                5850             6416372             6436822              Preset                   12                  NA                   
                5851             6502772             6562722              Preset                   12                  NA                   
                5852             6605972             6645572              Preset                   12                  NA                   
                5853             6654122             6688422              Preset                   12                  NA                   
                5854             6707772             6734772              Preset                   12                  NA                   
                5855             6744722             6785122              Preset                   12                  NA                   
                5856             6793622             6812022              Preset                   12                  NA                   
                5857             6820822             6833922              Preset                   12                  NA                   
                5858             6848722             6882072              Preset                   12                  NA                   
                5859             6891122             6922422              Preset                   13                  NA                   
                5860             6931422             6978522              Preset                   13                  NA                   
                5861             7008322             7033972              Preset                   13                  NA                   
                5862             7057322             7090722              Preset                   13                  NA                   
                5863             7140472             7169572              Preset                   13                  NA                   
                5864             7179572             7234422              Preset                   13                  NA                   
                5865             7246972             7279372              Preset                   13                  NA                   
                5866             7286972             7317522              Preset                   13                  NA                   
                5867             7327072             7361072              Preset                   13                  NA                   
                5868             7488472             7522622              Preset                   13                  NA                   
                5869             7525872             7552122              Preset                   13                  NA                   
                5870             7563272             7599472              Preset                   13                  NA                   
                5871             7607772             7639672              Preset                   13                 NA                   
                5872             7659222             7705272              Preset                   13                  NA                   
                5873             7708772             7744472              Preset                   13                  NA                   
                5874             7760622             7804222              Preset                   13                  NA                   
